"SAMPLE","TREAT","SEDTYP","NiTREAT","pHTREAT","DAY","HOURS","pH","Ni","Fe","TOTAl","TOTFe","TOTMn","TOTNi","ASCNi","ASCAl","ASCFe","ASCMn","DITNi","DITAl","DITFe","DITMn","CrysFe","CrysNi","PAmFe","PAmNi","PCrysFe","PCrysNi","POxidMn","LOI","Km","Dry.mass","Niadd","Nisorb"
"Tinkers-Ni2-pH5-d0","SED","TK","0.5","5",0,1.3,NA,473.04,22.2,3678.48,13241.64,481.56,9.87,0.66,121.72,3021.93,206.4,2.52,704.18,9118.9,335.88,6096.966,1.859,0.228,0.066,0.689,0.255,0.697,3.08,27.1,54.6,51.96,-0.1
"Tinkers-Ni10-pH5-d0","SED","TK","2","5",0,1.3,NA,2173.39,15.5,3589.77,12865.53,483.02,9.08,1.58,112.42,2599.23,167.91,2.11,625.59,7630.98,297.77,5031.751,0.536,0.202,0.174,0.593,0.233,0.616,3.08,16.4,54.6,226.8,-0.6
"Tinkers-Ni25-pH5-d0","SED","TK","5","5",0,1.3,NA,5161.07,19.09,3629.07,13107.36,466.71,11.93,0.75,115.46,2918.65,203.07,2.72,644.16,8211.5,326.37,5292.854,1.964,0.223,0.063,0.626,0.228,0.699,3.08,2.9,54.6,549.6,-1.3
"Tinkers-Ni2-pH7-d0","SED","TK","0.5","7",0,1.3,NA,464.56,-0.26,3596.46,13212.01,536.05,9.44,0.96,126.42,3467.14,255.97,2.33,584.53,8125.59,370.19,4658.454,1.37,0.262,0.102,0.615,0.247,0.691,3.08,35,54.6,51.96,-0.1
"Tinkers-Ni10-pH7-d0","SED","TK","2","7",0,1.3,NA,2232.46,-0.26,3593.72,12917.23,521.4,9.35,1.81,125.55,3213.2,231.03,2.33,588.1,8485.45,366.44,5272.25,0.515,0.249,0.194,0.657,0.249,0.703,3.08,14.8,54.6,226.8,-0.8
"Tinkers-Ni25-pH7-d0","SED","TK","5","7",0,1.3,NA,4768.77,-0.26,3505.9,13234.84,581.9,10.18,1.37,121.22,3364.25,244.89,3.19,572.43,7980.75,348.22,4616.496,1.826,0.254,0.134,0.603,0.313,0.598,3.08,5,54.6,549.6,-0.4
"Tinkers-Ni2-pH9-d0","SED","TK","0.5","9",0,1.3,NA,334.88,-0.09,3522.97,12774.13,517.25,9.12,0.82,115.42,2764.84,211.25,2.72,675.94,8729.64,398.2,5964.806,1.902,0.216,0.09,0.683,0.299,0.77,3.08,52,54.6,51.96,0.2
"Tinkers-Ni10-pH9-d0","SED","TK","2","9",0,1.3,NA,1360.27,-0.11,3625.62,13231.29,575.63,10.12,1.11,142.1,3538.81,267.03,7.96,738.14,9328.48,431.16,5789.67,6.843,0.267,0.11,0.705,0.787,0.749,3.08,13.5,54.6,226.8,1.2
"Tinkers-Ni25-pH9-d0","SED","TK","5","9",0,1.3,NA,2930.06,-0.08,3435.62,12347.85,493.26,9.98,1.41,110.52,2584.54,199.51,4.04,676.42,8588.73,394.18,6004.191,2.632,0.209,0.141,0.696,0.405,0.799,3.08,10.9,54.6,549.6,3.6
"Tinkers-Ni2-pH5-d1","SED","TK","0.5","5",1,25.5,6.46,377.61,18.63,3479.76,12855.31,460.75,9.13,0.87,117.5,2687.98,201.63,2.78,660.68,8451.29,328.49,5763.315,1.919,0.209,0.095,0.657,0.305,0.713,3.08,50.3,54.6,51.96,0.1
"Tinkers-Ni10-pH5-d1","SED","TK","2","5",1,25.5,6.69,1547.07,7.07,3619.78,13088.15,494.18,11.24,1.46,128.24,3476.11,227.62,3.36,656.02,8649.22,355.24,5173.111,1.908,0.266,0.13,0.661,0.299,0.719,3.08,15.9,54.6,226.8,0.8
"Tinkers-Ni25-pH5-d1","SED","TK","5","5",1,25.5,6.28,4166.88,28.5,3712.3,13687.22,509.77,11.54,5.34,127.99,3453.3,210.1,6.26,707.71,8888.78,348.26,5435.482,0.917,0.252,0.463,0.649,0.542,0.683,3.08,21.8,54.6,549.6,0.9
"Tinkers-Ni2-pH7-d1","SED","TK","0.5","7",1,25.5,7.66,340.61,-0.26,3920.01,14079.71,591.11,12.34,0.92,117.65,3299.36,228.74,2.45,588.54,7048.95,319.44,3749.589,1.535,0.234,0.075,0.501,0.199,0.54,3.08,48,54.6,51.96,0.2
"Tinkers-Ni10-pH7-d1","SED","TK","2","7",1,25.5,7.62,1285.06,-0.25,3764.39,13124.69,538.91,12.7,1.68,121.32,3469.04,260.11,4.3,674.09,8491.88,395.52,5022.839,2.617,0.264,0.133,0.647,0.339,0.734,3.08,22.1,54.6,226.8,1.3
"Tinkers-Ni25-pH7-d1","SED","TK","5","7",1,25.5,7.67,3052.83,-0.27,3937.33,14154.12,612.29,21.25,2.55,119.37,3521.04,261.95,11.81,643.71,8661.28,399.31,5140.243,9.258,0.249,0.12,0.612,0.556,0.652,3.08,13.9,54.6,549.6,3.4
"Tinkers-Ni2-pH9-d1","SED","TK","0.5","9",1,25.5,9.42,218.08,-0.05,3358.43,12044.65,510.31,10.71,0.81,130.75,3078.38,225.81,2.84,690.01,9484.97,424.48,6406.591,2.039,0.256,0.075,0.787,0.266,0.832,3.08,70.8,54.6,51.96,0.5
"Tinkers-Ni10-pH9-d1","SED","TK","2","9",1,25.5,9.42,525.32,-0.05,3240.27,12110.95,509.17,9.8,2.3,118.9,2932.03,220.25,2.96,612.49,8181.09,364.25,5249.052,0.659,0.242,0.235,0.676,0.302,0.715,3.08,87.6,54.6,226.8,3
"Tinkers-Ni25-pH9-d1","SED","TK","5","9",1,25.5,9.41,716.51,-0.05,3739.47,15197.88,612.32,14.84,1.53,128.86,3011.96,234.71,2.65,475.1,7264.35,328.45,4252.392,1.113,0.198,0.103,0.478,0.178,0.536,3.08,41.6,54.6,549.6,8.5
"Tinkers-Ni2-pH5-d4","SED","TK","0.5","5",4,96.9,5.43,329,65.1,3793.07,13549.4,496.52,9.7,0.74,126.35,2625.61,175.28,3.1,677.46,7712.92,302.49,5087.311,2.364,0.194,0.076,0.569,0.32,0.609,3.08,50.3,54.6,51.96,0.2
"Tinkers-Ni10-pH5-d4","SED","TK","2","5",4,96.9,5.48,1335.69,49.01,3557.42,12758.58,451.31,10.76,1.76,121.03,2618.14,183.95,4.19,719.62,8188.18,317.61,5570.036,2.425,0.205,0.164,0.642,0.389,0.704,3.08,29.5,54.6,226.8,1.2
"Tinkers-Ni25-pH5-d4","SED","TK","5","5",4,96.9,5.38,3775.29,57.67,3566.11,12933.6,517.02,10.17,2.77,131.11,2743.48,181.97,3.88,664.62,8475.62,333.97,5732.138,1.103,0.212,0.273,0.655,0.381,0.646,3.08,15.7,54.6,549.6,1.8
"Tinkers-Ni2-pH7-d4","SED","TK","0.5","7",4,96.9,7.81,258.75,-0.24,3550.05,13160,559.42,10.03,1.08,132.01,3762.56,271.39,3.23,651.16,7950.26,359.11,4187.701,2.15,0.286,0.108,0.604,0.322,0.642,3.08,65.1,54.6,51.96,0.4
"Tinkers-Ni10-pH7-d4","SED","TK","2","7",4,96.9,7.79,795.74,-0.25,3534.26,13042.78,536.19,12.01,2.51,142.52,3751.24,276.93,4.4,572.59,7891.16,366.92,4139.927,1.891,0.288,0.209,0.605,0.367,0.684,3.08,49.4,54.6,226.8,2.4
"Tinkers-Ni25-pH7-d4","SED","TK","5","7",4,96.9,7.8,1816.61,-0.24,3769.1,14082.53,586.59,24.54,14.46,130.69,3461.67,258.19,3.45,431,6015.15,311.86,2553.476,-11.004,0.246,0.589,0.427,0.141,0.532,3.08,135,54.6,549.6,6.1
"Tinkers-Ni2-pH9-d4","SED","TK","0.5","9",4,96.9,9.44,148.57,0,3677.29,12908.45,523.12,9.78,1.18,130.94,3151.38,238.58,3.32,703.51,8949.78,407.94,5798.399,2.139,0.244,0.12,0.693,0.339,0.78,3.08,147.9,54.6,51.96,0.6
"Tinkers-Ni10-pH9-d4","SED","TK","2","9",4,96.9,9.41,327.15,-0.09,3634.95,13386.59,517.08,11.03,4.13,139.86,3271.27,255.82,3.56,516.82,7100.93,315.4,3829.667,-0.566,0.244,0.374,0.53,0.323,0.61,3.08,226.5,54.6,226.8,3.4
"Tinkers-Ni25-pH9-d4","SED","TK","5","9",4,96.9,9.43,395.58,-0.01,3663.87,13543.78,541.04,14.48,4.21,136.68,3467.52,257.89,8.29,632.03,9296.1,418.77,5828.581,4.076,0.256,0.291,0.686,0.572,0.774,3.08,180.1,54.6,549.6,9.2
